layer,head,metric,clip_reward,clip_reward_pct,mdice,mask_coverage_mean,salience_max_mean,score,elapsed_s,status,total_possible_reward
8,8,dice,0,0.0,0.10994,9.64,0.000117,0.10994,2.09,ok,30
8,9,dice,0,0.0,0.50291,13.89,0.001644,0.50291,1.9,ok,30
8,10,dice,0,0.0,0.012779,4.05,0.000634,0.012779,2.02,ok,30
8,11,dice,0,0.0,0.083983,6.87,5.1e-05,0.083983,1.86,ok,30
9,0,dice,0,0.0,0.047867,1.84,2.1e-05,0.047867,2.03,ok,30
9,1,dice,0,0.0,0.067666,8.75,3.7e-05,0.067666,1.93,ok,30
9,2,dice,0,0.0,0.189778,7.94,2.2e-05,0.189778,2.11,ok,30
9,3,dice,0,0.0,0.579811,16.95,0.00041,0.579811,1.9,ok,30
9,4,dice,0,0.0,0.073379,14.85,0.000295,0.073379,2.12,ok,30
9,5,dice,0,0.0,0.084043,16.27,0.00017,0.084043,1.96,ok,30
9,6,dice,0,0.0,0.011846,3.86,6.4e-05,0.011846,2.04,ok,30
9,7,dice,0,0.0,0.553618,14.35,0.000127,0.553618,1.91,ok,30
9,8,dice,0,0.0,0.09266,13.47,4.5e-05,0.09266,2.03,ok,30
9,9,dice,0,0.0,0.024264,6.5,1.2e-05,0.024264,1.9,ok,30
9,10,dice,0,0.0,0.084659,12.78,6.9e-05,0.084659,2.18,ok,30
9,11,dice,0,0.0,0.553715,16.24,0.000849,0.553715,1.89,ok,30
10,0,dice,0,0.0,0.079521,12.62,5.1e-05,0.079521,2.13,ok,30
10,1,dice,0,0.0,0.046052,2.05,0.000148,0.046052,1.81,ok,30
10,2,dice,0,0.0,0.00271,1.91,5.4e-05,0.00271,2.0,ok,30
10,3,dice,0,0.0,0.059302,10.37,4.4e-05,0.059302,1.88,ok,30
10,4,dice,0,0.0,0.004253,1.64,0.000235,0.004253,2.02,ok,30
10,5,dice,0,0.0,0.0146,3.27,5.8e-05,0.0146,1.86,ok,30
10,6,dice,0,0.0,0.011799,4.07,5.9e-05,0.011799,2.02,ok,30
10,7,dice,0,0.0,0.015837,5.67,8.7e-05,0.015837,1.81,ok,30
10,8,dice,0,0.0,0.410595,11.72,0.000626,0.410595,2.11,ok,30
10,9,dice,0,0.0,0.011844,3.86,0.002201,0.011844,1.84,ok,30
10,10,dice,0,0.0,0.154699,4.27,6.1e-05,0.154699,2.01,ok,30
10,11,dice,0,0.0,0.0,0.85,0.000164,0.0,1.79,ok,30
11,0,dice,0,0.0,0.0,0.0,0.0,0.0,2.04,ok,30
11,1,dice,0,0.0,0.0,0.0,0.0,0.0,1.78,ok,30
11,2,dice,0,0.0,0.0,0.0,0.0,0.0,1.97,ok,30
11,3,dice,0,0.0,0.0,0.0,0.0,0.0,1.77,ok,30
11,4,dice,0,0.0,0.0,0.0,0.0,0.0,1.99,ok,30
11,5,dice,0,0.0,0.0,0.0,0.0,0.0,1.76,ok,30
11,6,dice,0,0.0,0.0,0.0,0.0,0.0,1.96,ok,30
11,7,dice,0,0.0,0.0,0.0,0.0,0.0,1.81,ok,30
11,8,dice,0,0.0,0.0,0.0,0.0,0.0,1.99,ok,30
11,9,dice,0,0.0,0.0,0.0,0.0,0.0,1.77,ok,30
11,10,dice,0,0.0,0.0,0.0,0.0,0.0,2.0,ok,30
11,11,dice,0,0.0,0.0,0.0,0.0,0.0,1.78,ok,30
