image_id,class_name,iou,dice,pred_coverage_pct,gt_coverage_pct,elapsed_s,status
2008_008301_bus,bus,0.0561,0.1063,23.51,38.49,0.24,ok
2007_002266_aeroplane,aeroplane,0.0778,0.1443,4.52,16.94,0.23,ok
2010_001451_horse,horse,0.0,0.0,0.0,53.15,0.24,ok
2011_001416_person,person,0.014,0.0275,15.21,23.41,0.23,ok
2009_003542_cow,cow,0.0358,0.0692,1.68,33.49,0.24,ok
2009_002571_chair,chair,0.0008,0.0017,44.88,8.54,0.32,ok
2009_002571_diningtable,diningtable,0.0,0.0,0.0,2.54,0.32,ok
2009_002571_pottedplant,pottedplant,0.0301,0.0585,8.26,1.4,0.32,ok
2009_002571_sofa,sofa,0.0,0.0,0.0,9.47,0.32,ok
2007_003786_bus,bus,0.0001,0.0003,0.0,6.65,0.23,ok
2007_004033_motorbike,motorbike,0.0006,0.0012,4.67,16.3,0.33,ok
2007_004033_person,person,0.0,0.0,10.75,2.27,0.33,ok
2007_000346_bottle,bottle,0.0,0.0,14.35,7.81,0.28,ok
2007_000346_person,person,0.0,0.0,5.4,27.54,0.28,ok
2007_000464_cow,cow,0.5215,0.6855,4.03,6.54,0.23,ok
2010_004056_bottle,bottle,0.0,0.0,0.0,6.41,0.26,ok
2010_003768_car,car,0.0773,0.1434,1.7,3.44,0.24,ok
2009_002651_motorbike,motorbike,0.0036,0.0071,1.93,9.29,0.27,ok
2009_002651_person,person,0.0099,0.0195,22.57,2.91,0.27,ok
2011_000888_bus,bus,0.1029,0.1866,4.9,39.39,0.24,ok
